game_id,off_player_id,off_team_id,def_player_id,def_team_id,matchup_min,partial_poss,pct_defender_total_time,pct_off_total_time,pct_total_time_both_on,player_pts,team_pts,matchup_ast,matchup_tov,matchup_blk,matchup_fgm,matchup_fga,matchup_fg3m,matchup_fg3a,matchup_ftm,matchup_fta,sfl
0042000171,1628973,1610612742,202695,1610612746,1:07,3.61,0.083,0.16,0.261,2,4,0,0,0,0,0,0,0,2,2,0
0042000171,1628973,1610612742,202694,1610612746,0:16,0.64,0.025,0.038,0.106,0,0,0,1,0,0,0,0,0,0,0,0
0042000171,1628973,1610612742,200765,1610612746,0:44,3.61,0.095,0.106,0.163,2,3,0,0,0,0,1,0,1,2,2,0
0042000171,1626196,1610612742,201587,1610612746,0:16,1.15,0.025,0.042,0.063,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1626196,1610612742,201976,1610612746,0:41,1.89,0.112,0.11,0.326,0,4,0,0,0,0,0,0,0,0,0,0
0042000171,1626196,1610612742,202331,1610612746,1:00,2.75,0.074,0.158,0.267,0,0,0,1,0,0,0,0,0,0,0,0
0042000171,1626196,1610612742,201586,1610612746,0:17,0.68,0.062,0.045,0.096,0,0,0,0,0,0,1,0,1,0,0,0
0042000171,1626196,1610612742,202704,1610612746,0:55,3.28,0.127,0.146,0.23,3,3,0,0,0,1,2,1,2,0,0,0
0042000171,1626196,1610612742,202695,1610612746,0:14,1.22,0.018,0.039,0.067,2,7,0,0,0,1,1,0,0,0,0,0
0042000171,1626196,1610612742,1629611,1610612746,0:04,0.35,0.378,0.01,0.378,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1626196,1610612742,202694,1610612746,0:35,2.0,0.055,0.092,0.176,2,5,0,0,0,1,1,0,0,0,0,0
0042000171,1626196,1610612742,200765,1610612746,2:01,6.07,0.258,0.318,0.376,0,11,0,0,0,0,0,0,0,0,0,0
0042000171,1626196,1610612742,1627826,1610612746,0:16,0.65,0.041,0.042,0.12,2,5,0,0,0,1,1,0,0,0,0,0
0042000171,1629740,1610612742,201587,1610612746,0:55,2.9,0.087,0.274,0.274,0,3,0,0,0,0,0,0,0,0,0,0
0042000171,1629740,1610612742,202331,1610612746,0:17,0.69,0.021,0.083,0.102,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,1629740,1610612742,201586,1610612746,0:27,1.11,0.098,0.133,0.164,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1629740,1610612742,202704,1610612746,0:35,1.91,0.081,0.175,0.18,0,0,0,0,0,0,0,0,0,0,0,0
