Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
Immanuel Quickley,2019-20,Kentucky,SEC,SO,30,20,33.0,4.6,11.0,.417,2.5,6.2,.409,2.1,4.8,.428,4.8,5.2,.923,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,,7.46
Payton Pritchard,2016-17,Oregon,Pac-12,FR,39,35,28.3,2.5,6.3,.393,1.2,2.6,.455,1.3,3.7,.350,1.2,1.6,.730,0.6,2.8,3.4,3.6,1.2,0.1,1.4,2.3,7.4,,8.38
Payton Pritchard,2017-18,Oregon,Pac-12,SO,36,36,35.1,4.9,11.1,.447,2.6,5.3,.484,2.4,5.7,.413,2.3,2.9,.774,0.5,3.3,3.8,4.8,1.4,0.0,2.1,2.4,14.5,,4.84
Payton Pritchard,2018-19,Oregon,Pac-12,JR,38,38,35.5,4.4,10.5,.418,2.7,5.3,.505,1.7,5.2,.328,2.4,2.9,.838,0.9,3.0,3.9,4.6,1.8,0.1,2.0,2.2,12.9,,6.13
Payton Pritchard,2019-20,Oregon,Pac-12,SR,31,31,36.6,7.0,14.9,.468,4.1,8.1,.512,2.8,6.8,.415,3.7,4.5,.821,0.7,3.6,4.3,5.5,1.5,0.0,2.7,2.0,20.5,,9.09
Udoka Azubuike,2016-17,Kansas,Big 12,FR,11,6,12.9,2.0,3.2,.629,2.0,3.2,.629,0.0,0.0,,1.0,2.6,.379,1.2,3.2,4.4,0.2,0.2,1.6,1.4,2.8,5.0,,12.23
Udoka Azubuike,2017-18,Kansas,Big 12,SO,36,34,23.6,5.9,7.6,.770,5.9,7.6,.770,0.0,0.0,,1.3,3.0,.413,2.4,4.6,7.0,0.7,0.6,1.7,1.8,3.0,13.0,,11.88
Udoka Azubuike,2018-19,Kansas,Big 12,JR,9,9,20.4,6.1,8.7,.705,6.1,8.7,.705,0.0,0.0,,1.2,3.6,.344,2.2,4.6,6.8,0.6,0.4,1.6,2.0,2.9,13.4,,12.79
Udoka Azubuike,2019-20,Kansas,Big 12,SR,31,30,27.7,5.8,7.8,.748,5.8,7.8,.748,0.0,0.0,,2.1,4.7,.441,3.5,7.0,10.5,0.9,0.5,2.6,2.5,2.4,13.7,,11.63
Jaden McDaniels,2019-20,Washington,Pac-12,FR,31,21,31.1,4.4,10.8,.405,3.0,6.7,.445,1.4,4.1,.339,2.8,3.7,.763,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,,8.25
Malachi Flynn,2016-17,Washington State,Pac-12,FR,31,30,33.1,3.4,8.5,.395,1.5,3.6,.407,1.9,4.8,.387,1.2,1.6,.735,0.3,2.7,2.9,2.9,0.7,0.0,2.1,1.9,9.7,,6.87
Malachi Flynn,2017-18,Washington State,Pac-12,SO,31,30,33.4,5.2,12.6,.413,2.7,5.3,.518,2.5,7.4,.338,2.8,3.4,.846,0.7,2.7,3.4,4.3,1.6,0.1,2.1,1.8,15.8,,5.21
Malachi Flynn,2018-19,,,Transfer
Malachi Flynn,2019-20,San Diego State,MWC,JR,32,32,33.4,5.8,13.0,.441,3.4,6.7,.507,2.4,6.4,.373,3.8,4.4,.857,0.6,3.8,4.5,5.1,1.8,0.1,1.8,1.8,17.6,,3.93
Desmond Bane,2016-17,TCU,Big 12,FR,39,13,20.7,2.6,5.1,.515,1.8,3.1,.605,0.8,2.0,.380,1.1,1.4,.768,0.7,2.2,2.9,1.0,0.3,0.2,1.0,1.9,7.1,,10.95
Desmond Bane,2017-18,TCU,Big 12,SO,33,32,30.5,4.4,8.2,.539,2.6,4.3,.610,1.8,3.9,.461,1.9,2.5,.780,0.5,3.6,4.1,2.5,0.9,0.2,1.8,2.3,12.5,,9.68
Desmond Bane,2018-19,TCU,Big 12,JR,37,37,35.5,5.8,11.6,.502,4.0,7.2,.549,1.8,4.3,.425,1.8,2.0,.867,1.3,4.4,5.7,2.4,1.1,0.5,1.3,2.3,15.2,,9.60
Desmond Bane,2019-20,TCU,Big 12,SR,32,32,36.0,6.2,13.6,.452,3.3,7.1,.461,2.9,6.5,.442,1.4,1.8,.789,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,,10.09
Tyrell Terry,2019-20,Stanford,Pac-12,FR,31,31,32.6,4.7,10.7,.441,2.7,5.8,.470,2.0,4.9,.408,3.2,3.5,.891,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,,6.38
Vernon Carey Jr.,2019-20,Duke,ACC,FR,31,30,24.9,6.4,11.1,.577,6.2,10.5,.590,0.3,0.7,.381,4.7,7.0,.670,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,,8.00
