Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
Dijon Thompson,2003-04,UCLA,Pac-10,JR,28,27,34.3,5.2,12.0,.435,3.5,7.4,.466,1.8,4.6,.383,2.2,2.8,.782,1.1,3.2,4.3,2.3,0.9,0.1,2.6,1.8,14.4,,6.82
Dijon Thompson,2004-05,UCLA,Pac-10,SR,28,27,34.6,6.5,13.8,.474,5.0,9.7,.517,1.5,4.1,.374,3.8,4.9,.787,1.9,6.1,7.9,2.3,1.5,0.3,3.3,2.2,18.4,,7.08
Lawrence Roberts,2001-02,Baylor,Big 12,FR,30,29,28.6,5.8,13.0,.445,4.9,10.4,.474,0.9,2.6,.329,4.1,6.1,.678,3.1,5.2,8.2,1.3,1.7,1.3,1.9,2.7,16.6,,5.08
Lawrence Roberts,2002-03,Baylor,Big 12,SO,26,26,32.2,5.1,12.2,.421,4.7,10.5,.445,0.4,1.6,.262,4.6,6.7,.684,4.0,6.5,10.4,1.5,1.7,1.1,2.3,2.6,15.2,,5.44
Lawrence Roberts,2003-04,Mississippi State,SEC,JR,30,30,32.7,5.8,11.2,.519,5.4,9.9,.549,0.4,1.3,.300,4.8,7.6,.634,3.4,6.7,10.1,1.2,1.4,0.6,2.4,2.3,16.9,,6.08
Lawrence Roberts,2004-05,Mississippi State,SEC,SR,32,32,32.0,5.3,11.9,.448,5.0,10.7,.466,0.4,1.3,.293,5.9,9.0,.653,3.4,7.5,11.0,1.9,1.6,0.8,2.7,2.2,16.9,,6.05
Alex Acker,2002-03,Pepperdine,WCC,FR,28,23,33.3,4.6,9.6,.476,3.5,7.2,.493,1.0,2.4,.426,2.8,3.5,.814,1.5,3.5,5.0,0.9,1.4,0.4,2.7,1.6,13.0,,1.79
Alex Acker,2003-04,Pepperdine,WCC,SO,29,26,32.4,4.8,10.6,.450,3.7,7.6,.482,1.1,3.0,.368,2.9,3.7,.794,1.8,3.6,5.3,3.8,1.8,0.4,2.5,2.2,13.6,,2.11
Alex Acker,2004-05,Pepperdine,WCC,JR,31,31,37.2,5.9,13.1,.450,4.0,8.7,.459,1.9,4.4,.431,2.9,3.4,.858,1.4,5.1,6.5,3.7,1.3,0.5,2.6,1.9,16.6,,1.51
Emeka Okafor,2001-02,UConn,Big East,FR,34,34,30.0,3.1,5.2,.590,3.1,5.2,.590,0.0,0.0,,1.7,2.7,.620,2.6,6.4,9.0,0.8,0.8,4.1,1.4,2.6,7.9,,7.59
Emeka Okafor,2002-03,UConn,Big East,SO,33,33,32.9,6.7,11.5,.580,6.7,11.5,.580,0.0,0.0,,2.5,4.2,.599,3.8,7.4,11.2,0.5,0.9,4.7,2.3,3.0,15.9,,7.63
Emeka Okafor,2003-04,UConn,Big East,JR,36,36,32.4,7.3,12.1,.599,7.3,12.1,.599,0.0,0.0,,3.1,6.1,.518,3.8,7.7,11.5,1.0,1.0,4.1,2.3,2.4,17.6,,7.77
Ben Gordon,2001-02,UConn,Big East,FR,34,2,24.8,4.1,9.3,.444,2.3,4.9,.473,1.8,4.4,.413,2.5,3.4,.726,0.6,2.1,2.7,3.1,1.0,0.2,2.4,2.4,12.6,,7.59
Ben Gordon,2002-03,UConn,Big East,SO,33,33,33.4,6.4,14.4,.443,4.0,8.6,.460,2.4,5.8,.419,4.3,5.4,.808,0.9,3.3,4.2,4.7,1.2,0.2,3.4,2.2,19.5,,7.63
Ben Gordon,2003-04,UConn,Big East,JR,39,39,34.5,6.1,14.1,.434,3.5,8.0,.434,2.7,6.2,.433,3.6,4.4,.829,0.9,3.8,4.7,4.5,1.4,0.2,2.8,2.3,18.5,,7.77
Devin Harris,2001-02,Wisconsin,Big Ten,FR,32,32,34.2,3.7,8.8,.413,1.8,3.8,.475,1.8,5.0,.366,3.2,4.1,.777,0.6,2.7,3.3,1.8,1.3,0.6,1.7,2.1,12.3,,9.23
Devin Harris,2002-03,Wisconsin,Big Ten,SO,32,32,34.4,4.1,8.9,.463,2.5,4.6,.534,1.7,4.3,.387,2.8,3.7,.756,0.8,3.8,4.6,3.1,2.0,0.6,1.6,2.2,12.7,,6.51
Devin Harris,2003-04,Wisconsin,Big Ten,JR,32,32,36.3,5.9,12.9,.459,3.6,6.6,.540,2.3,6.3,.373,5.3,6.8,.792,0.6,3.7,4.3,4.4,1.8,0.1,2.1,1.9,19.5,,7.49
Josh Childress,2001-02,Stanford,Pac-10,FR,30,6,21.5,3.1,7.8,.402,2.4,5.1,.468,0.7,2.7,.275,0.8,1.2,.694,1.5,3.3,4.8,0.8,0.6,0.4,1.1,1.8,7.8,,9.03
Josh Childress,2002-03,Stanford,Pac-10,SO,33,33,34.2,5.1,11.9,.427,3.6,7.5,.482,1.5,4.4,.333,2.5,3.5,.719,2.2,5.8,8.1,2.1,1.2,1.4,2.0,2.2,14.1,,8.37
Josh Childress,2003-04,Stanford,Pac-10,JR,23,18,29.8,5.4,11.0,.488,3.9,7.3,.536,1.5,3.7,.395,3.4,4.1,.821,1.9,5.6,7.5,2.7,0.9,1.6,2.2,2.3,15.7,,4.33
Luol Deng,2003-04,Duke,ACC,FR,37,32,31.1,5.7,11.9,.476,4.6,8.9,.515,1.1,3.0,.360,2.6,3.7,.710,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,,10.86
Rafael Araújo,2002-03,BYU,MWC,JR,32,32,25.1,4.8,8.7,.558,4.8,8.3,.569,0.1,0.3,.273,2.2,3.4,.642,2.8,6.1,8.9,1.2,1.4,0.5,3.0,3.7,12.0,,5.29
Rafael Araújo,2003-04,BYU,MWC,SR,30,30,29.8,7.0,12.3,.573,6.8,11.3,.601,0.3,1.0,.267,4.1,5.6,.722,2.9,7.2,10.1,1.2,1.4,0.8,2.9,3.1,18.4,,6.31
Andre Iguodala,2002-03,Arizona,Pac-10,FR,32,4,19.2,2.2,5.7,.381,1.9,4.3,.438,0.3,1.4,.205,1.8,2.8,.670,1.9,2.9,4.9,2.1,1.5,0.6,1.5,1.9,6.4,,8.95
Andre Iguodala,2003-04,Arizona,Pac-10,SO,30,30,32.1,4.5,10.1,.450,3.8,7.6,.493,0.8,2.4,.315,3.1,3.9,.788,2.4,6.0,8.4,4.9,1.6,0.4,2.8,2.5,12.9,,6.63
Luke Jackson,2000-01,Oregon,Pac-10,FR,28,6,18.1,2.6,6.1,.424,2.0,4.4,.451,0.6,1.8,.360,1.9,2.6,.740,1.2,2.9,4.1,2.0,0.8,0.3,1.7,1.9,7.8,,7.91
Luke Jackson,2001-02,Oregon,Pac-10,SO,35,35,30.5,5.4,11.8,.458,4.1,8.5,.480,1.3,3.3,.400,4.5,5.3,.864,1.6,3.8,5.4,3.3,1.3,0.3,2.0,1.7,16.7,,6.94
Luke Jackson,2002-03,Oregon,Pac-10,JR,32,30,31.8,5.4,12.0,.452,4.3,8.8,.484,1.2,3.2,.363,4.1,4.7,.867,2.2,4.8,6.9,3.6,1.7,0.3,2.7,2.0,16.0,,6.11
Luke Jackson,2003-04,Oregon,Pac-10,SR,31,31,34.6,6.8,13.9,.488,4.4,8.5,.519,2.4,5.4,.440,5.3,6.1,.862,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7,21.2,,6.90
Kris Humphries,2003-04,Minnesota,Big Ten,FR,29,28,34.1,7.6,17.2,.444,7.0,15.4,.455,0.6,1.7,.340,5.9,7.9,.742,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2,21.7,,5.36
Kirk Snyder,2001-02,Nevada,WAC,FR,18,11,27.4,4.5,11.9,.377,3.4,8.4,.411,1.1,3.6,.297,3.6,5.8,.625,2.1,2.5,4.6,1.4,0.7,0.8,2.8,2.3,13.7,,1.88
Kirk Snyder,2002-03,Nevada,WAC,SO,32,30,31.7,5.8,13.1,.445,4.8,9.3,.519,1.0,3.8,.268,3.5,5.5,.638,2.9,5.2,8.1,2.5,0.9,0.8,2.9,2.7,16.3,,2.06
Kirk Snyder,2003-04,Nevada,WAC,JR,34,33,31.7,6.1,14.3,.431,4.6,9.7,.470,1.6,4.6,.348,4.9,6.7,.731,1.9,3.8,5.7,3.4,1.0,0.6,3.5,2.1,18.8,,5.82
Jameer Nelson,2000-01,St. Joseph's,A-10,FR,33,33,33.8,4.0,8.6,.461,2.7,5.3,.517,1.2,3.3,.373,3.3,4.0,.820,0.7,3.4,4.0,6.5,1.7,0.1,3.4,2.5,12.5,,4.46
Jameer Nelson,2001-02,St. Joseph's,A-10,SO,30,30,35.5,4.8,11.0,.438,3.1,6.2,.497,1.7,4.7,.359,3.1,4.1,.762,1.2,3.6,4.8,6.3,1.3,0.0,3.0,2.2,14.4,,3.33
Jameer Nelson,2002-03,St. Joseph's,A-10,JR,30,30,34.9,6.5,14.8,.437,4.3,8.5,.510,2.1,6.3,.339,4.6,6.0,.772,1.3,3.8,5.1,4.7,2.2,0.2,2.9,2.1,19.7,,3.71
Jameer Nelson,2003-04,St. Joseph's,A-10,SR,32,32,33.9,7.3,15.4,.475,5.0,9.6,.526,2.3,5.8,.390,3.7,4.7,.792,1.0,3.7,4.7,5.3,2.8,0.0,2.8,1.8,20.6,,4.97
Delonte West,2001-02,St. Joseph's,A-10,FR,31,2,17.0,2.5,5.2,.469,2.4,4.7,.510,0.1,0.5,.118,0.9,1.4,.667,0.9,2.0,3.0,1.2,0.8,0.1,0.9,1.6,5.9,,3.33
Delonte West,2002-03,St. Joseph's,A-10,SO,26,22,30.2,6.2,13.2,.474,4.1,7.5,.549,2.1,5.7,.374,2.7,3.3,.814,1.0,3.3,4.3,3.2,1.6,0.2,2.5,2.2,17.3,,3.71
Delonte West,2003-04,St. Joseph's,A-10,JR,32,32,33.5,6.6,13.0,.510,4.9,8.8,.557,1.8,4.3,.412,3.9,4.3,.892,1.2,4.2,5.4,4.7,1.7,0.2,2.6,1.9,18.9,,4.97
Tony Allen,2002-03,Oklahoma State,Big 12,JR,32,28,31.2,5.1,11.4,.447,4.2,9.0,.460,0.9,2.4,.395,3.3,4.8,.691,1.6,3.8,5.4,2.7,1.9,0.8,2.8,2.9,14.4,,8.46
Tony Allen,2003-04,Oklahoma State,Big 12,SR,35,34,31.6,5.8,11.6,.504,5.2,9.5,.550,0.6,2.1,.297,3.7,5.5,.675,1.8,3.7,5.5,3.1,2.1,0.9,2.8,3.0,16.0,,7.23
Kevin Martin,2001-02,Western Carolina,Southern,FR,28,28,32.6,7.0,14.5,.484,4.4,7.6,.575,2.6,6.8,.382,5.5,6.6,.828,1.0,3.8,4.8,1.5,1.8,0.4,2.6,2.0,22.1,,-3.00
Kevin Martin,2002-03,Western Carolina,Southern,SO,24,22,31.6,6.7,15.8,.424,4.6,9.2,.505,2.1,6.7,.313,7.3,8.2,.883,1.0,2.8,3.8,1.8,1.4,0.5,3.1,2.5,22.8,,-4.38
Kevin Martin,2003-04,Western Carolina,Southern,JR,27,27,31.2,7.7,16.3,.474,5.8,10.6,.547,1.9,5.6,.336,7.6,9.3,.817,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9,24.9,,-3.84
David Harrison,2001-02,Colorado,Big 12,FR,27,23,24.3,5.1,8.1,.638,5.1,8.1,.638,0.0,0.0,,3.6,6.4,.561,3.4,3.6,7.0,0.4,0.6,1.3,2.3,3.5,13.9,,4.99
David Harrison,2002-03,Colorado,Big 12,SO,32,31,28.4,5.1,9.4,.547,5.1,9.4,.547,0.0,0.0,,3.7,6.5,.563,3.2,5.1,8.3,0.5,0.7,3.3,2.3,3.5,13.9,,8.01
David Harrison,2003-04,Colorado,Big 12,JR,29,28,31.6,6.4,10.2,.631,6.4,10.1,.633,0.0,0.0,.000,4.3,8.0,.539,3.7,5.0,8.8,0.9,0.6,2.9,2.7,3.2,17.1,,7.18
Jackson Vroman,2002-03,Iowa State,Big 12,JR,31,31,30.5,5.0,9.1,.552,5.0,8.9,.564,0.0,0.2,.000,2.5,4.9,.516,2.6,6.8,9.4,1.8,1.0,1.5,2.5,3.7,12.5,,6.05
Jackson Vroman,2003-04,Iowa State,Big 12,SR,32,31,30.7,5.8,10.3,.564,5.8,10.1,.573,0.0,0.2,.143,2.3,4.4,.507,3.7,5.9,9.6,2.3,1.4,0.7,3.2,3.5,13.9,,8.06
Lionel Chalmers,2000-01,Xavier,A-10,FR,29,8,25.3,2.9,8.0,.365,1.6,3.7,.439,1.3,4.3,.302,1.8,2.6,.671,0.4,1.7,2.2,1.9,1.3,0.1,2.1,1.8,8.9,,4.60
Lionel Chalmers,2001-02,Xavier,A-10,SO,32,32,34.1,3.9,9.3,.421,2.4,5.1,.479,1.5,4.2,.351,2.7,3.8,.719,0.5,2.9,3.4,4.2,1.5,0.1,3.3,2.4,12.0,,4.10
Lionel Chalmers,2002-03,Xavier,A-10,JR,25,22,31.2,3.9,8.8,.443,2.0,3.8,.510,2.0,5.0,.392,2.2,2.8,.771,0.6,2.0,2.7,4.0,1.1,0.0,2.6,2.3,12.0,,4.62
Lionel Chalmers,2003-04,Xavier,A-10,SR,37,37,34.9,5.5,12.3,.449,2.8,5.6,.498,2.7,6.7,.409,2.8,4.0,.709,0.5,2.8,3.3,3.2,1.1,0.0,2.8,2.1,16.6,,5.84
Andre Emmett,2000-01,Texas Tech,Big 12,FR,28,0,20.5,3.0,7.5,.395,2.3,5.3,.439,0.6,2.2,.290,1.1,1.8,.633,1.5,2.1,3.6,1.0,0.6,0.1,1.4,0.9,7.7,,5.49
Andre Emmett,2001-02,Texas Tech,Big 12,SO,32,31,32.8,7.6,14.6,.519,7.3,13.7,.532,0.3,0.9,.321,3.3,4.9,.675,2.4,4.2,6.6,1.5,1.3,0.4,1.9,1.5,18.7,,7.22
Andre Emmett,2002-03,Texas Tech,Big 12,JR,34,33,37.0,8.7,17.5,.499,8.4,16.4,.513,0.3,1.1,.289,4.0,5.6,.712,2.3,4.4,6.6,1.9,1.9,0.5,2.1,1.5,21.8,,8.29
Andre Emmett,2003-04,Texas Tech,Big 12,SR,34,33,37.0,7.6,14.5,.526,7.2,13.2,.543,0.5,1.3,.356,4.9,6.6,.730,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4,20.6,,8.21
Antonio Burks,2001-02,Memphis,CUSA,SO,36,33,30.2,3.3,7.2,.453,3.1,6.8,.459,0.1,0.3,.333,1.8,2.6,.695,0.6,1.8,2.4,5.1,2.0,0.1,2.2,2.5,8.4,,4.72
Antonio Burks,2002-03,Memphis,CUSA,JR,25,17,26.8,3.9,8.2,.478,3.8,7.9,.485,0.1,0.3,.286,1.8,2.5,.714,0.2,1.9,2.0,5.6,1.4,0.2,2.1,2.0,9.7,,5.27
Antonio Burks,2003-04,Memphis,CUSA,SR,30,30,34.3,5.9,12.4,.474,4.0,7.8,.511,1.9,4.6,.413,2.4,3.8,.632,0.5,2.7,3.2,5.5,2.4,0.2,2.5,2.3,16.0,,5.96
Royal Ivey,2000-01,Texas,Big 12,FR,33,26,15.8,0.9,2.6,.365,0.8,2.2,.384,0.1,0.4,.250,0.9,1.3,.659,0.3,1.3,1.6,1.7,0.7,0.2,1.3,2.2,2.8,,8.89
Royal Ivey,2001-02,Texas,Big 12,SO,34,34,28.3,3.9,8.2,.475,3.1,6.2,.507,0.8,2.0,.377,2.3,2.9,.780,1.8,1.8,3.5,1.4,0.8,0.2,1.6,3.1,10.9,,9.98
Royal Ivey,2002-03,Texas,Big 12,JR,33,33,25.0,2.8,5.9,.474,2.4,4.5,.537,0.4,1.4,.267,2.0,2.5,.774,1.2,1.8,3.0,1.6,0.9,0.1,1.3,2.8,7.9,,9.28
Royal Ivey,2003-04,Texas,Big 12,SR,33,33,29.7,3.4,7.5,.448,3.0,6.6,.456,0.4,0.9,.387,2.3,3.7,.626,1.3,2.8,4.0,4.3,1.2,0.2,1.5,2.5,9.4,,8.40
Chris Duhon,2000-01,Duke,ACC,FR,39,10,27.8,2.4,5.6,.424,1.2,2.4,.505,1.1,3.1,.361,1.3,2.1,.650,1.0,2.2,3.2,4.5,2.0,0.0,1.6,1.7,7.2,,11.98
Chris Duhon,2001-02,Duke,ACC,SO,35,34,35.1,2.9,7.0,.410,1.3,2.4,.541,1.5,4.5,.340,1.7,2.4,.711,0.5,2.6,3.1,5.9,2.3,0.1,2.6,1.9,8.9,,9.16
Chris Duhon,2002-03,Duke,ACC,JR,33,32,36.0,3.1,8.0,.386,2.0,4.1,.493,1.1,3.9,.273,2.0,2.9,.688,0.7,2.5,3.2,6.4,1.9,0.2,3.0,1.8,9.2,,8.37
Chris Duhon,2003-04,Duke,ACC,SR,37,37,35.4,3.7,8.3,.448,2.9,5.7,.514,0.8,2.6,.302,1.8,2.4,.722,0.8,3.2,4.1,6.1,2.2,0.2,2.8,2.1,10.0,,10.86
Justin Reed,2000-01,Ole Miss,SEC,FR,35,32,24.6,4.6,9.6,.478,4.5,8.9,.503,0.1,0.7,.130,1.8,3.2,.549,2.5,3.3,5.9,0.8,1.3,0.7,2.3,3.0,11.0,,9.24
Justin Reed,2001-02,Ole Miss,SEC,SO,31,29,28.1,5.4,11.2,.480,5.1,10.3,.498,0.3,0.9,.276,3.6,4.5,.787,2.5,4.1,6.6,1.1,0.8,0.5,2.1,3.3,14.6,,6.86
Justin Reed,2002-03,Ole Miss,SEC,JR,28,26,29.5,5.7,11.6,.488,5.0,10.0,.498,0.7,1.7,.426,3.3,4.5,.730,1.7,3.6,5.3,1.1,1.3,1.0,2.3,3.4,15.4,,6.25
Justin Reed,2003-04,Ole Miss,SEC,SR,28,27,33.5,6.9,14.9,.464,6.4,12.8,.501,0.5,2.1,.237,4.2,5.7,.731,2.8,4.7,7.5,1.5,0.7,0.8,3.0,3.1,18.5,,6.36
David Young,2000-01,Xavier,A-10,SO,26,0,7.0,0.9,2.4,.371,0.5,1.2,.419,0.4,1.2,.323,0.4,0.8,.455,0.5,0.7,1.1,0.2,0.3,0.0,0.5,0.8,2.5,,4.60
David Young,2001-02,Xavier,A-10,JR,30,30,25.5,2.6,6.5,.397,1.9,4.0,.467,0.7,2.5,.284,2.2,3.1,.699,1.7,1.9,3.6,1.2,0.8,0.2,1.4,2.1,8.0,,4.10
David Young,2002-03,Xavier,A-10,SR,10,2,15.2,1.8,5.3,.340,1.1,2.4,.458,0.7,2.9,.241,0.8,1.4,.571,1.1,1.2,2.3,0.4,0.7,0.0,0.4,1.3,5.1,,4.62
Trevor Ariza,2003-04,UCLA,Pac-10,FR,25,23,31.6,4.3,10.0,.426,3.6,7.0,.509,0.7,3.0,.237,2.3,4.5,.504,2.4,4.0,6.5,2.1,1.7,0.4,3.2,2.8,11.6,,6.82
Tim Pickett,2002-03,Florida State,ACC,JR,29,29,33.1,5.8,15.1,.382,2.9,6.1,.466,2.9,8.9,.324,2.7,3.1,.865,1.1,4.6,5.7,2.1,2.8,0.3,2.1,3.0,17.1,,7.75
Tim Pickett,2003-04,Florida State,ACC,SR,33,33,29.8,5.6,12.9,.434,2.3,4.7,.481,3.3,8.2,.407,1.9,2.5,.759,1.0,3.5,4.5,2.1,2.5,0.4,2.4,2.5,16.5,,8.31
Bernard Robinson,2000-01,Michigan,Big Ten,FR,28,22,29.0,5.1,10.9,.467,4.1,8.1,.509,1.0,2.8,.346,3.3,4.1,.802,1.4,3.5,4.9,2.3,1.2,0.1,3.3,2.4,14.4,,11.39
Bernard Robinson,2001-02,Michigan,Big Ten,SO,29,20,28.4,4.6,11.3,.409,4.2,9.6,.437,0.4,1.7,.245,2.4,2.9,.855,1.4,3.2,4.6,2.4,1.2,0.5,2.2,2.7,12.1,,8.18
Bernard Robinson,2002-03,Michigan,Big Ten,JR,29,29,32.2,4.3,9.4,.456,3.8,8.1,.472,0.4,1.3,.351,2.7,3.2,.848,1.5,4.6,6.1,3.4,1.3,0.7,3.5,2.7,11.7,,7.88
Bernard Robinson,2003-04,Michigan,Big Ten,SR,34,33,32.2,4.4,10.2,.432,3.9,8.2,.477,0.5,2.0,.250,2.8,3.6,.770,1.1,4.6,5.7,3.8,1.9,0.3,2.7,2.5,12.1,,6.17
Pape Sow,2001-02,Cal State Fullerton,Big West,SO,26,26,33.3,5.3,12.7,.421,5.1,11.5,.446,0.2,1.2,.188,4.5,7.0,.648,2.6,6.0,8.6,0.7,1.3,1.2,2.2,3.6,15.5,,-1.06
Pape Sow,2002-03,Cal State Fullerton,Big West,JR,18,16,31.4,4.6,8.9,.513,4.2,8.2,.514,0.3,0.7,.500,4.4,6.4,.681,2.8,6.1,8.8,0.7,1.4,0.7,2.5,3.5,13.8,,-2.99
Pape Sow,2003-04,Cal State Fullerton,Big West,SR,28,28,32.2,5.7,11.6,.494,5.4,10.7,.507,0.3,0.9,.333,5.6,8.3,.675,3.1,6.6,9.7,0.9,1.6,0.6,3.0,3.6,17.3,,-0.81
Ricky Minard,2000-01,Morehead State,OVC,FR,27,27,31.4,5.7,11.6,.494,3.4,5.8,.586,2.3,5.7,.400,3.0,3.8,.786,1.5,3.3,4.8,2.1,1.8,0.4,2.4,2.8,16.7,,-4.19
Ricky Minard,2001-02,Morehead State,OVC,SO,29,29,35.6,7.8,15.8,.496,5.6,10.0,.557,2.2,5.8,.389,4.4,5.6,.784,1.8,5.1,6.9,3.3,2.5,1.0,3.0,3.1,22.3,,-3.12
Ricky Minard,2002-03,Morehead State,OVC,JR,29,28,31.3,7.8,15.0,.516,5.9,10.0,.592,1.9,5.1,.367,5.1,6.1,.837,1.5,4.8,6.2,4.0,2.2,0.6,3.1,2.7,22.5,,-4.00
Ricky Minard,2003-04,Morehead State,OVC,SR,29,28,34.3,7.2,16.1,.451,5.7,11.3,.503,1.6,4.8,.326,5.7,7.4,.776,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5,21.8,,-2.90
Christian Drejer,2002-03,Florida,SEC,FR,18,0,15.4,1.0,2.4,.409,0.7,1.4,.462,0.3,1.0,.333,1.3,1.6,.793,0.3,1.3,1.6,2.4,0.4,0.0,0.8,1.6,3.6,,7.76
Christian Drejer,2003-04,Florida,SEC,SO,20,20,29.5,3.7,7.9,.468,2.6,5.1,.510,1.1,2.8,.393,1.7,2.2,.750,0.8,4.0,4.8,4.0,1.0,0.3,2.5,2.7,10.2,,9.19
Romain Sato,2000-01,Xavier,A-10,FR,29,29,30.2,3.3,8.5,.386,1.0,2.5,.417,2.2,6.0,.374,1.9,2.6,.730,1.7,3.7,5.4,1.4,0.9,0.3,1.0,2.2,10.7,,4.60
Romain Sato,2001-02,Xavier,A-10,SO,32,32,34.6,5.2,11.2,.462,2.6,5.0,.522,2.6,6.3,.415,3.1,4.5,.688,2.0,4.6,6.6,1.8,0.9,0.7,1.8,2.8,16.1,,4.10
Romain Sato,2002-03,Xavier,A-10,JR,32,32,36.9,5.7,13.8,.411,3.1,6.1,.500,2.6,7.7,.340,4.1,5.1,.809,1.9,5.2,7.1,2.3,1.0,0.3,1.9,2.2,18.1,,4.62
Romain Sato,2003-04,Xavier,A-10,SR,37,37,36.9,4.8,12.0,.404,2.8,6.2,.456,2.0,5.8,.349,4.6,5.5,.829,2.0,6.0,8.0,2.3,1.3,0.1,1.7,2.4,16.3,,5.84
Matt Freije,2000-01,Vanderbilt,SEC,FR,27,18,23.9,3.6,7.3,.497,2.8,5.1,.543,0.9,2.2,.390,2.3,2.9,.792,1.6,2.9,4.4,0.6,0.2,1.0,1.3,2.1,10.4,,8.97
Matt Freije,2001-02,Vanderbilt,SEC,SO,32,32,29.3,5.3,11.5,.466,4.3,8.4,.511,1.0,3.0,.340,3.4,4.4,.768,1.4,3.8,5.1,1.1,0.8,0.3,1.7,2.7,15.1,,7.56
Matt Freije,2002-03,Vanderbilt,SEC,JR,29,28,31.1,6.1,13.9,.443,3.9,7.5,.521,2.2,6.4,.351,3.4,4.3,.798,1.3,3.1,4.4,1.1,0.9,0.4,1.7,2.3,17.9,,9.36
Matt Freije,2003-04,Vanderbilt,SEC,SR,33,33,29.8,5.6,13.5,.415,3.7,8.2,.452,1.9,5.3,.356,5.3,6.7,.788,2.0,3.4,5.4,0.9,0.7,0.6,1.0,1.6,18.4,,7.57
Rickey Paulding,2000-01,Missouri,Big 12,FR,33,8,17.2,2.7,6.5,.421,2.4,4.8,.494,0.4,1.7,.214,1.2,1.7,.679,1.1,1.3,2.4,0.9,0.5,0.2,1.8,1.5,7.0,,9.20
Rickey Paulding,2001-02,Missouri,Big 12,SO,35,23,26.1,4.2,8.2,.510,2.8,5.0,.554,1.4,3.2,.442,2.1,2.9,.730,1.8,2.1,3.9,1.5,1.0,0.5,1.8,1.5,11.9,,6.80
Rickey Paulding,2002-03,Missouri,Big 12,JR,33,33,34.9,6.0,13.4,.450,3.8,7.5,.498,2.3,5.8,.389,3.0,3.8,.800,1.9,3.6,5.5,2.2,0.7,0.4,2.4,2.3,17.4,,10.15
Rickey Paulding,2003-04,Missouri,Big 12,SR,30,30,35.0,4.8,12.1,.397,3.0,6.8,.439,1.8,5.3,.342,3.7,4.7,.787,1.9,2.4,4.3,2.8,1.0,0.4,2.6,1.9,15.1,,9.04
Luis Flores,1999-00,Rutgers,Big East,FR,29,0,10.8,1.3,2.8,.463,1.2,2.3,.530,0.1,0.6,.188,1.2,1.7,.729,0.4,1.0,1.4,0.8,0.5,0.0,1.2,0.9,3.9,,4.40
Luis Flores,2000-01,,,Transfer
Luis Flores,2001-02,Manhattan,MAAC,SO,29,28,36.4,6.2,13.6,.456,4.9,10.3,.470,1.3,3.3,.411,5.7,6.5,.872,1.7,2.3,3.9,2.4,1.5,0.2,3.3,2.8,19.4,,-5.39
Luis Flores,2002-03,Manhattan,MAAC,JR,30,30,38.9,7.7,16.9,.455,5.8,12.1,.482,1.9,4.8,.386,7.4,8.2,.902,1.6,4.0,5.6,2.9,1.9,0.4,3.3,2.3,24.6,,-1.99
Luis Flores,2003-04,Manhattan,MAAC,SR,31,31,36.2,7.5,17.1,.442,5.4,11.2,.478,2.2,5.9,.374,6.7,7.8,.863,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5,24.0,,-1.25
Marcus Douthit,2000-01,Providence,Big East,FR,31,2,15.6,2.2,4.6,.483,2.2,4.6,.483,0.0,0.0,,1.0,1.3,.750,1.5,2.5,4.0,1.0,0.5,1.6,1.9,3.0,5.4,,5.44
Marcus Douthit,2001-02,Providence,Big East,SO,30,14,17.8,2.3,5.2,.433,2.3,5.2,.433,0.0,0.0,,0.7,1.4,.476,1.2,3.0,4.2,1.2,0.5,1.8,2.5,2.6,5.2,,4.55
Marcus Douthit,2002-03,Providence,Big East,JR,32,16,21.2,1.8,4.7,.393,1.8,4.7,.396,0.0,0.0,.000,1.4,2.0,.730,1.6,3.0,4.6,1.5,0.9,3.0,2.2,2.6,5.1,,7.83
Marcus Douthit,2003-04,Providence,Big East,SR,29,29,29.7,2.8,6.3,.446,2.8,6.3,.446,0.0,0.0,,2.2,2.8,.768,1.7,4.1,5.9,2.2,1.6,3.2,2.6,3.0,7.8,,8.21
Blake Stepp,2000-01,Gonzaga,WCC,FR,33,33,31.0,2.9,7.3,.398,1.0,2.2,.451,1.9,5.2,.376,2.5,3.3,.771,0.5,3.1,3.6,3.5,1.0,0.2,2.4,1.2,10.3,,0.32
Blake Stepp,2001-02,Gonzaga,WCC,SO,31,29,26.6,2.7,6.9,.391,1.2,2.7,.446,1.5,4.3,.356,2.2,2.8,.802,0.5,3.2,3.8,3.9,0.9,0.1,2.2,1.6,9.2,,0.75
Blake Stepp,2002-03,Gonzaga,WCC,JR,33,33,35.5,5.3,12.3,.431,2.3,4.9,.472,3.0,7.4,.403,4.4,5.3,.833,0.6,3.1,3.7,6.0,1.6,0.1,3.3,2.0,18.0,,3.80
